rep,lv,alp,num_cell,cell_size,sparse_freq,error
0,4,10.0,50,4,2,51.258082389847786
0,4,10.0,50,4,4,33.31534322374919
0,4,10.0,50,4,8,31.73348912139393
0,4,10.0,50,8,2,41.83338431751645
0,4,10.0,50,8,4,24.873838541337314
0,4,10.0,50,8,8,28.025686879379695
0,4,10.0,100,2,2,32.51249472248837
0,4,10.0,100,2,4,26.476061391042034
0,4,10.0,100,2,8,25.523697033541396
0,4,10.0,100,4,2,23.513004925024962
0,4,10.0,100,4,4,21.219887254938577
0,4,10.0,100,4,8,23.162442057702293
0,4,10.0,100,8,2,20.352487776621064
0,4,10.0,100,8,4,20.738451674079595
0,4,10.0,100,8,8,24.720728972220233
0,4,10.0,200,2,2,18.639332626576525
0,4,10.0,200,2,4,18.962085036865343
0,4,10.0,200,2,8,19.74142115214721
0,4,10.0,200,4,2,16.838085120781045
0,4,10.0,200,4,4,19.526133314154865
0,4,10.0,200,4,8,21.63119153596549
0,4,10.0,200,8,2,16.411448790332468
0,4,10.0,200,8,4,19.943932526989588
0,4,10.0,200,8,8,23.869189848621613
0,4,10.0,500,2,2,14.511719932915497
0,4,10.0,500,2,4,16.74365512754098
0,4,10.0,500,2,8,17.966044718228407
0,4,10.0,500,4,2,14.60349381330289
0,4,10.0,500,4,4,19.066667545202986
0,4,10.0,500,4,8,21.10976090491426
0,4,10.0,500,8,2,14.724203277950565
0,4,10.0,500,8,4,19.56304843121642
0,4,10.0,500,8,8,23.496165997654924
1,1,0.01,50,2,2,204.8261914488982
1,1,0.01,50,2,4,220.64461643230518
1,1,0.01,50,2,8,227.68256638590444
1,1,0.01,50,4,2,206.5978214691903
1,1,0.01,50,4,4,233.43144815099436
1,1,0.01,50,4,8,239.89959846707856
1,1,0.01,50,8,2,204.78221320384623
1,1,0.01,50,8,4,238.83354878155222
1,1,0.01,50,8,8,245.49558498817802
1,1,0.01,100,2,2,205.5224694825087
1,1,0.01,100,2,4,225.76005379730924
1,1,0.01,100,2,8,232.38467141679325
1,1,0.01,100,4,2,213.99993839441285
1,1,0.01,100,4,4,237.00478137701958
1,1,0.01,100,4,8,242.49480131416877
1,1,0.01,100,8,2,216.17598405854244
1,1,0.01,100,8,4,241.6485278125185
1,1,0.01,100,8,8,246.78372012995345
1,1,0.01,200,2,2,206.47436747668277
1,1,0.01,200,2,4,227.8110442189613
1,1,0.01,200,2,8,234.5993682647941
1,1,0.01,200,4,2,214.56127749771773
1,1,0.01,200,4,4,236.47474963054637
1,1,0.01,200,4,8,244.11973786432654
1,1,0.01,200,8,2,217.03694813926265
1,1,0.01,200,8,4,239.59136751541976
1,1,0.01,200,8,8,244.87598724711458
1,1,0.01,500,2,2,196.6918758539534
1,1,0.01,500,2,4,220.33277383791958
1,1,0.01,500,2,8,228.6887520429768
1,1,0.01,500,4,2,201.99004113792984
1,1,0.01,500,4,4,233.44926725702743
1,1,0.01,500,4,8,243.14605437365586
1,1,0.01,500,8,2,199.81641710323962
1,1,0.01,500,8,4,216.1212661270595
1,1,0.01,500,8,8,225.4467945387917
1,1,0.1,50,2,2,191.72817110947693
1,1,0.1,50,2,4,201.78871246618272
1,1,0.1,50,2,8,207.0888593748709
1,1,0.1,50,4,2,192.64420589720675
1,1,0.1,50,4,4,209.54202519075957
1,1,0.1,50,4,8,213.54396734521083
1,1,0.1,50,8,2,190.38210826885825
1,1,0.1,50,8,4,213.52188884369878
1,1,0.1,50,8,8,222.3891629817122
1,1,0.1,100,2,2,182.5940521357862
1,1,0.1,100,2,4,197.86817540577218
1,1,0.1,100,2,8,204.90238215717278
1,1,0.1,100,4,2,189.0017104399451
1,1,0.1,100,4,4,204.82175244690478
1,1,0.1,100,4,8,213.99969721264677
1,1,0.1,100,8,2,190.29330260317886
1,1,0.1,100,8,4,208.82256343355812
1,1,0.1,100,8,8,220.02985274905095
1,1,0.1,200,2,2,169.84173092032393
1,1,0.1,200,2,4,188.98694604872833
1,1,0.1,200,2,8,198.81514369114691
1,1,0.1,200,4,2,176.60502938164888
1,1,0.1,200,4,4,196.30978926056537
1,1,0.1,200,4,8,213.10314278936696
1,1,0.1,200,8,2,176.63111484576814
1,1,0.1,200,8,4,193.09404789558542
1,1,0.1,200,8,8,201.91953514329748
1,1,0.1,500,2,2,105.75215076396714
1,1,0.1,500,2,4,164.5815794040885
1,1,0.1,500,2,8,177.59407404558408
1,1,0.1,500,4,2,123.77747819793109
1,1,0.1,500,4,4,177.91067941613645
1,1,0.1,500,4,8,200.29965930553607
1,1,0.1,500,8,2,101.62333398182979
1,1,0.1,500,8,4,101.66431994205138
1,1,0.1,500,8,8,115.764459073537
1,1,1.0,50,2,2,180.19690553038316
1,1,1.0,50,2,4,177.97697678089884
1,1,1.0,50,2,8,176.9537081232631
1,1,1.0,50,4,2,171.41479781335482
1,1,1.0,50,4,4,162.44162622005516
1,1,1.0,50,4,8,155.73106226283028
1,1,1.0,50,8,2,168.81546759089022
1,1,1.0,50,8,4,155.9641430433697
1,1,1.0,50,8,8,160.52587171103113
1,1,1.0,100,2,2,149.58875273483358
1,1,1.0,100,2,4,144.64073434499824
1,1,1.0,100,2,8,144.37920528744294
1,1,1.0,100,4,2,138.36326059995153
1,1,1.0,100,4,4,117.08095273531131
1,1,1.0,100,4,8,122.44048806906687
1,1,1.0,100,8,2,133.1386897109064
1,1,1.0,100,8,4,108.80820151158883
1,1,1.0,100,8,8,142.58748761265045
1,1,1.0,200,2,2,92.3797378047733
1,1,1.0,200,2,4,90.65371686886927
1,1,1.0,200,2,8,98.32581552981532
1,1,1.0,200,4,2,73.0772017281351
1,1,1.0,200,4,4,70.17973253405164
1,1,1.0,200,4,8,98.03628740145629
1,1,1.0,200,8,2,62.83202663584068
1,1,1.0,200,8,4,61.56028670771549
1,1,1.0,200,8,8,119.35599674138658
1,1,1.0,500,2,2,15.529251921862995
1,1,1.0,500,2,4,32.413365965020866
1,1,1.0,500,2,8,48.35978080813426
1,1,1.0,500,4,2,16.272170568294264
1,1,1.0,500,4,4,45.37945110253035
1,1,1.0,500,4,8,84.3724176534444
1,1,1.0,500,8,2,16.63251468934741
1,1,1.0,500,8,4,38.43192366181605
1,1,1.0,500,8,8,97.72186151374933
1,1,10.0,50,2,2,187.41596728384226
1,1,10.0,50,2,4,183.18659993226817
1,1,10.0,50,2,8,181.39920005537843
1,1,10.0,50,4,2,184.69900413868444
1,1,10.0,50,4,4,169.95068705532972
1,1,10.0,50,4,8,150.33353239808926
1,1,10.0,50,8,2,185.52104641364696
1,1,10.0,50,8,4,160.99323132899855
1,1,10.0,50,8,8,129.38588750610396
1,1,10.0,100,2,2,160.96600770771332
1,1,10.0,100,2,4,154.84205560305676
1,1,10.0,100,2,8,151.8987053475071
1,1,10.0,100,4,2,157.9432128428562
1,1,10.0,100,4,4,127.28978023515177
1,1,10.0,100,4,8,105.0147820557936
1,1,10.0,100,8,2,157.24846838855657
1,1,10.0,100,8,4,113.35591928905262
1,1,10.0,100,8,8,96.34775594524034
1,1,10.0,200,2,2,110.22180110990243
1,1,10.0,200,2,4,107.03089351845288
1,1,10.0,200,2,8,108.60269538316498
1,1,10.0,200,4,2,104.52987088831817
1,1,10.0,200,4,4,69.93966401462069
1,1,10.0,200,4,8,76.39053588787085
1,1,10.0,200,8,2,103.59702958889474
1,1,10.0,200,8,4,60.70243194459376
1,1,10.0,200,8,8,71.61072039770936
1,1,10.0,500,2,2,28.056479031143592
1,1,10.0,500,2,4,44.5420297739319
1,1,10.0,500,2,8,55.42616168066415
1,1,10.0,500,4,2,31.014143701343553
1,1,10.0,500,4,4,44.67616689531737
1,1,10.0,500,4,8,61.06970793898302
1,1,10.0,500,8,2,34.15647643800385
1,1,10.0,500,8,4,39.66896020579054
1,1,10.0,500,8,8,54.91723936223216
1,2,0.01,50,2,2,178.4529310619014
1,2,0.01,50,2,4,196.42103294511904
1,2,0.01,50,2,8,205.84030694718498
1,2,0.01,50,4,2,179.2949718525595
1,2,0.01,50,4,4,215.5161390523146
1,2,0.01,50,4,8,229.7149373842023
1,2,0.01,50,8,2,177.5279102357111
1,2,0.01,50,8,4,222.43361249475822
1,2,0.01,50,8,8,237.24352938929877
1,2,0.01,100,2,2,171.40741086582383
1,2,0.01,100,2,4,201.42862601622485
1,2,0.01,100,2,8,212.30790324115588
1,2,0.01,100,4,2,184.84556519623965
1,2,0.01,100,4,4,222.72119449297904
1,2,0.01,100,4,8,231.9795898223521
1,2,0.01,100,8,2,187.6221103026348
1,2,0.01,100,8,4,228.5663829929475
1,2,0.01,100,8,8,241.02847814282939
